measure,estimate,std_error,df,statistic,p_value,model,n
max_doy,0.19025974025877898,0.06614435940735726,132,2.8764318222063894,0.004691397863474759,doy ~ measure * year,24
mig_end_doy,0.11909090909036708,0.06614435940736055,132,1.8004696115798295,0.07406996364322621,doy ~ measure * year,24
mig_start_doy,0.20649350649250164,0.06614435940736356,132,3.1218611585724063,0.0022084591043866346,doy ~ measure * year,24
p50_doy,0.16402597402520588,0.0661443594073655,132,2.479818014639972,0.014404216789484718,doy ~ measure * year,24
peak_end_doy,0.15610389610316666,0.06614435940736693,132,2.3600484984934385,0.019737456644155927,doy ~ measure * year,24
peak_start_doy,0.17805194805116134,0.06614435940737919,132,2.6918689612601727,0.008025792937660273,doy ~ measure * year,24
