model,term,estimate,estimate_exp,std_error,statistic,p_value,n
res_pop_median ~ year,(Intercept),-79.71246250883429,2.4061206119650128e-35,24.548763655135634,-3.247107008265092,0.001165845471420134,24
res_pop_median ~ year,year,0.04047229722095815,1.0413024623309135,0.012193378594959432,3.319202869472848,9.027481965134646e-4,24
res_raw_median ~ year,(Intercept),-60.53757330083603,5.115239441821188e-27,25.803851967210868,-2.3460672994776726,0.018972681364853708,24
res_raw_median ~ year,year,0.03088425763339441,1.0313661242219592,0.012819862513098933,2.409094294251428,0.015992165510376664,24
