model,term,estimate,std_error,statistic,p_value,n,model_r_squared,model_adj_r_squared,model_f,model_p
mig_dur_days ~ year,(Intercept),200.072857142859,193.42774011035266,1.0343545193089432,0.31220735921858445,24,0.036181422759925634,-0.007628512569168633,0.8258725443928574,0.3733172621995847
mig_dur_days ~ year,year,-0.08740259740259833,0.09617624673758725,-0.9087752991762359,0.37331726219958494,24,0.036181422759925634,-0.007628512569168633,0.8258725443928574,0.3733172621995847
peak_dur_days ~ year,(Intercept),53.68285714285798,75.07368777898418,0.7150688707460264,0.48208664678376445,24,0.01547120241593701,-0.02928010656515667,0.3457150811493174,0.5625364654545896
peak_dur_days ~ year,year,-0.02194805194805237,0.03732818010081132,-0.5879754086263459,0.562536465454589,24,0.01547120241593701,-0.02928010656515667,0.3457150811493174,0.5625364654545896
