model,term,estimate,std_error,statistic,p_value,type
peak_dur_days ~ year,(Intercept),56.453331439115814,69.71201298713912,0.8098077938092342,0.4275810816055976,gaps_removed
peak_dur_days ~ year,year,-0.02336979684613842,0.034663530787600025,-0.6741897410663762,0.5079090110819382,gaps_removed
mig_dur_days ~ year,(Intercept),203.8452252806304,206.5385551450625,0.9869596750953329,0.33545295615100457,end_removed
mig_dur_days ~ year,year,-0.08942026756880979,0.10271765107315191,-0.8705443186695129,0.39433222969647996,end_removed
peak_dur_days ~ year,(Intercept),64.75588190066044,67.21267687929637,0.9634474463344475,0.34682839336991145,end_removed
peak_dur_days ~ year,year,-0.02752575734276449,0.0334268257397806,-0.8234630938948724,0.4199560903397034,end_removed
mig_dur_days ~ year,(Intercept),239.70986238530097,240.4571490344992,0.9968922252792284,0.33279584421492425,all_removed
mig_dur_days ~ year,year,-0.10722477064219182,0.11955450417854,-0.8968693515893368,0.38231415771417376,all_removed
peak_dur_days ~ year,(Intercept),64.25229357797473,74.18501290677817,0.8661088144409299,0.3984896595090105,all_removed
peak_dur_days ~ year,year,-0.027314428690572042,0.03688454459000496,-0.7405385912768937,0.46907880451123285,all_removed
mig_pop_max ~ year,(Intercept),-66.87655171606396,20.08399714688989,-3.329842721393741,8.689505219474168e-4,original
mig_pop_max ~ year,year,0.03625499439387577,0.009988605548799729,3.6296352095145368,2.838220344606744e-4,original
mig_raw_max ~ year,(Intercept),-75.41358006728679,20.04802464800428,-3.761646416111823,1.6879856182835742e-4,original
mig_raw_max ~ year,year,0.040803480100418864,0.009970783640181509,4.092304233338682,4.271077815842416e-5,original
mig_pop_max ~ year,(Intercept),-62.056555992453895,21.89781124131315,-2.833915924682733,0.00459814276716783,gaps_removed
mig_pop_max ~ year,year,0.033873952202651006,0.010888278970000557,3.11104742043997,0.0018642499924565981,gaps_removed
mig_raw_max ~ year,(Intercept),-74.11224604786626,22.185220178802997,-3.3406135008151625,8.359350452364606e-4,gaps_removed
mig_raw_max ~ year,year,0.04016933466065574,0.011031249113531922,3.6414130663933992,2.711456864937914e-4,gaps_removed
mig_pop_max ~ year,(Intercept),-62.32637890997536,23.297994046312425,-2.675182197492247,0.007468864772145683,end_removed
mig_pop_max ~ year,year,0.034000100912325214,0.011586607201075577,2.934431134350443,0.0033415969604856832,end_removed
mig_raw_max ~ year,(Intercept),-61.41124169102695,22.104726840043345,-2.7781950048701227,0.0054661802586709225,end_removed
mig_raw_max ~ year,year,0.033845687940487694,0.010993231111105077,3.078775257103224,0.002078534175152298,end_removed
mig_pop_max ~ year,(Intercept),-55.62507581983261,25.831096961228784,-2.153415160932698,0.031286065130308384,all_removed
mig_pop_max ~ year,year,0.030687550421277528,0.01284299084171217,2.389439562754247,0.016874099918147905,all_removed
mig_raw_max ~ year,(Intercept),-57.73994124555275,24.833565129046963,-2.3250766027957996,0.020067864488142847,all_removed
mig_raw_max ~ year,year,0.03203751328665683,0.012347079967882162,2.5947441314055144,0.009466136012057275,all_removed
