model,term,estimate,estimate_exp,std_error,statistic,p_value,n
mig_pop_max ~ year,(Intercept),-61.79691419564023,1.4519149135454848e-27,21.546766192555378,-2.868036606671477,0.004130277420210605,24
mig_pop_max ~ year,year,0.03373913320534662,1.0343147531574113,0.010713338447205373,3.149264197300482,0.0016368214401445683,24
mig_raw_max ~ year,(Intercept),-76.14124104624574,8.556165340579186e-34,21.34238127081277,-3.5676075729363115,3.602554975057277e-4,24
mig_raw_max ~ year,year,0.04117632631321904,1.0420358276832176,0.010611765001085733,3.8802523716842696,1.0434813532697169e-4,24
mig_raw_max ~ year,(Intercept),-45.81204503556361,1.2708129633750277e-20,21.627437959369768,-2.11823726516419,0.034154978657978445,22
mig_raw_max ~ year,year,0.02605639090973319,1.0263988264051023,0.01075905055688374,2.4218113644853236,0.015443364717638769,22
