model,term,estimate,std_error,statistic,p_value,n,model_r_squared,model_adj_r_squared,model_f,model_p
mig_skew ~ 1,(Intercept),-0.002812702188147461,0.04212610793847619,-0.06676862225808568,0.9473429193361552,24,0,0,NA,NA
peak_skew ~ 1,(Intercept),-0.003073286813739203,0.018460264702119138,-0.16648118883075422,0.869233189095971,24,0,0,NA,NA
all_skew ~ 1,(Intercept),-0.06288852660499483,0.04107805785667649,-1.530951799727636,0.13942079406959448,24,0,0,NA,NA
mig_kurt ~ 1,(Intercept),-0.6736816307134598,0.0344299903769872,-19.566709817140833,7.790729936299186e-16,24,0,0,NA,NA
peak_kurt ~ 1,(Intercept),-1.1241834915760955,0.006442568973658867,-174.493047132664,2.0497920024194523e-37,24,0,0,NA,NA
all_kurt ~ 1,(Intercept),0.2668368931581799,0.11882743710859156,2.245583172128239,0.0346374772125546,24,0,0,NA,NA
