model,term,estimate,estimate_exp,std_error,statistic,p_value,n
res_pop_median ~ year,(Intercept),-77.15701702457854,3.0983699084872196e-34,23.209274481319436,-3.3244045214201026,8.860756807559886e-4,25
res_pop_median ~ year,year,0.039205761227864636,1.0399844501138173,0.011530441551817181,3.4001959987114163,6.733756655261528e-4,25
res_raw_median ~ year,(Intercept),-65.83766693906767,2.553080725860526e-29,24.66740820239861,-2.669014369035566,0.007607419565219396,25
res_raw_median ~ year,year,0.033512897625457824,1.0340807808268742,0.012256737650124314,2.734242877844246,0.006252390616811834,25
